description,name,price,offer_price,meassure,pum,size,brand,meassure_description,market,timestamp,identifier
"Leche entera Président botella 1,5 l.",Leche entera. UHT,1.09,None,l,0.73,,PRESIDENT,,carrefour,1618236326.924762,
"Leche semidesnatada fresca Puleva sin lactosa botella 1,5 l.",,1.83,None,,1.22,,,,carrefour,1618236333.800142,
Leche semidesnatada ecológica Puleva sin lactosa brik 1 l.,,1.45,None,,1.45,,,,carrefour,1618236340.4281414,
Leche entera de cabra ecológica Cantero de Letur botella de vidrio 1 l.,,4.4,None,,4.4,,,,carrefour,1618236347.2399123,
Leche desnatada UHT Quién es el jefe brik 1 l.,,0.79,None,,0.79,,,,carrefour,1618236353.9549043,
"Leche entera fresca Carrefour botella 1,5 l.",Leche Entera,1.15,None,l,0.77,,CARREFOUR,,carrefour,1618236360.9588196,R-730814324
Leche semidesnatada ecológica Puleva brik 1 l.,Leche UHT Semidesnatada de Agricultura Ecológica.,0.99,1.29,l,1.29,,PULEVA,,carrefour,1618236368.1148682,R-625735708
Bebida láctea Omega 3 Carrefour brik 1 l.,"Bebida láctea UHT a base de leche desnatada enriquecida en ácidos grasos omega 3 (EPA+DHA) y vitaminas A, D, E, B6, ácido fólico y B12.",0.87,None,l,0.87,,CARREFOUR,,carrefour,1618236375.2001154,R-521007048
Leche entera Bienatur Clesa brik 1 l.,Leche UHT Entera,0.64,0.75,l,0.75,,CLESA,,carrefour,1618236382.4038134,
"Leche semidesnatada fresca ecológica Carrefour Bio botella 1,5 l.",,1.79,None,,1.19,,,,carrefour,1618236389.1694329,
Leche semidesnatada Bienatur Clesa brik 1 l.,Leche UHT Semidesnatada,0.64,0.75,l,0.75,,CLESA,,carrefour,1618236396.3497581,
Leche semidesnatada ecológica Asana brik 1 l.,,1.34,None,,1.34,,,,carrefour,1618236403.1521847,
"Leche fresca desnatada Carefour botella 1,5 l.",,1.15,None,,0.77,,CARREFOUR,,carrefour,1618236410.013656,
PASCUAL leche desnatada calcio envase 1 lt,"Leche desnatada UHT enriquecida en proteinas de la leche, calcio, fosforo y vitaminas A, D, E, K y ácido fólico.",1.39,,lt,139.0,1.0,PASCUAL,envase 1 lt,dia,1618236422.4507043,104006
UNICLA leche semidesnatada envase 1 lt,Leche UHT Semidesnatada,0.99,,lt,99.0,1.0,UNICLA,envase 1 lt,dia,1618236431.8203552,105829
PASCUAL leche semidesnatada calcio envase 1 lt,"Leche semidesnatada UHT enriquecida en proteinas de la leche, calcio, fosforo y vitaminas A, D, E, K y ácido fólico.",1.39,,lt,139.0,1.0,PASCUAL,envase 1 lt,dia,1618236438.8227608,112295
CELTA leche semidesnatada sin lactosa envase 1 lt,Leche Semidesnatada UHT Sin Lactosa,1.0,,lt,100.0,1.0,CELTA,envase 1 lt,dia,1618236445.8923473,113613
PASCUAL leche semidesnatada sin lactosa envase 1 lt,Leche semidesnatada UHT sin lactosa con vitamina B6,1.09,,lt,109.0,1.0,PASCUAL,envase 1 lt,dia,1618236453.0249786,119675
PASCUAL leche desnatada sin lactosa envase 1 lt,Leche desnatada UHT sin lactosa con vitamina B6,1.09,,lt,109.0,1.0,PASCUAL,envase 1 lt,dia,1618236459.932937,119676
ALPRO bebida de soja ligera envase 1 lt,"Bebida de soja ligera UHT reducida en grasa, enriquecida con calcio y vitaminas (B2,B12 y D)",1.49,,lt,149.0,1.0,ALPRO,envase 1 lt,dia,1618236466.9109218,126349
DIA VITAL bebida de soja con chocolate pack 3 unidades 200 ml,,1.25,,ml,208.0,200.0,DIAVITAL,unidades 200 ml,dia,1618236474.279604,126683
PULEVA leche omega 3 con nueces envase 1 lt,"Bebida láctea con Omega 3, nueces y vitaminas A, B6, B9 (ácido fólico), C, D y E. UHT.",1.45,,lt,145.0,1.0,PULEVA,envase 1 lt,dia,1618236481.3255928,121677
VIVESOY bebida de soja ligera envase 1 lt,Bebida de soja ligera con calcio y vitaminas A y D,1.49,,lt,149.0,1.0,VIVESOY,envase 1 lt,dia,1618236488.405906,121894
PULEVA Max crecimiento con cereales envase 1 lt,Bebida láctea infantil con cereales y omega 3.UHT,1.45,,lt,145.0,1.0,PULEVAM,envase 1 lt,dia,1618236495.4229002,129519
DIA VITAL leche semidesnatada sin lactosa envase 1 lt,,0.75,,lt,75.0,1.0,DIAVITAL,envase 1 lt,dia,1618236502.4220598,130063
PULEVA leche semidesnatada ecológica envase 1 lt,Leche UHT Semidesnatada de Agricultura Ecológica.,1.35,,lt,135.0,1.0,PULEVA,envase 1 lt,dia,1618236509.5041265,141031
ASTURIANA leche desnatada naturcol botella 1 lt,Bebida láctea UHT con esteroles vegetales,1.29,,lt,129.0,1.0,ASTURIANA,botella 1 lt,dia,1618236516.8419864,138832
PASCUAL leche entera sin lactosa envase 1 lt,Leche entera UHT sin lactosa con vitamina B6,1.09,,lt,109.0,1.0,PASCUAL,envase 1 lt,dia,1618236523.970568,142327
ASTURIANA leche semidesnatada sin lactosa envase 1 lt,Leche UHT semidesnatada sin lactosa,0.92,,lt,92.0,1.0,ASTURIANA,envase 1 lt,dia,1618236530.9875326,148777
ASTURIANA leche entera envase 1 lt,Leche UHT entera,0.79,,lt,79.0,1.0,ASTURIANA,envase 1 lt,dia,1618236538.3894958,16065
ASTURIANA leche desnatada envase 1 lt,Leche UHT desnatada,0.79,,lt,79.0,1.0,ASTURIANA,envase 1 lt,dia,1618236545.4438708,16066
IDEAL leche evaporada envase 525 gr,Leche evaporada parcialmente desnatada. Materia grasa: 4%. Extracto seco magro lácteo: 20%.,1.99,,gr,379.0,525.0,IDEAL,envase 525 gr,dia,1618236552.7295125,163643
ALPRO bebida de avena envase 1 lt,Bebida de avena UHT enriquecida con calcio y vitamina D,1.85,,lt,185.0,1.0,ALPRO,envase 1 lt,dia,1618236559.9024007,163737
ALPRO leche de almendras envase 1 lt,"Leche de almendras UHT enriquecida con calcio y vitaminas (D,E,B2,B12)",1.95,,lt,195.0,1.0,ALPRO,envase 1 lt,dia,1618236567.0343761,167442
ASTURIANA leche desnatada 0% M.G. sin lactosa envase 1 lt,"LESLAC- Leche 1,5-1,55%MG",0.92,,lt,92.0,1.0,ASTURIANAMG,envase 1 lt,dia,1618236574.1999204,169355
ASTURIANA leche semidesnatada botella 2.2 lt,Leche UHT semidesnatada,1.59,,lt,72.0,2.2,ASTURIANA,botella 2.2 lt,dia,1618236581.3383667,173903
VIVESOY bebida de avena envase 1 lt,Bebida de Avena con Calcio y Vitamina D,1.85,,lt,185.0,1.0,VIVESOY,envase 1 lt,dia,1618236588.9914875,174052
ASTURIANA leche semidesnatada envase 1 lt,Leche UHT SEMIDESNATADA,0.79,,lt,79.0,1.0,ASTURIANA,envase 1 lt,dia,1618236596.7488616,17548
ALPRO bebida de arroz envase 1 lt,Bebida de arroz UHT enriquecida con calcio y vitaminas B12 y D,1.95,,lt,195.0,1.0,ALPRO,envase 1 lt,dia,1618236604.197432,180254
DIA VITAL leche desnatada sin lactosa envase 1 lt,,0.75,,lt,75.0,1.0,DIAVITAL,envase 1 lt,dia,1618236611.6148534,185450
COVAP leche semidesnatada de cabra envase 1 lt,Leche semidesnatada de cabra UHT,1.49,,lt,149.0,1.0,COVAP,envase 1 lt,dia,1618236618.8594697,188442
LAUKI leche desnatada envase 1 lt,Leche Desnatada UHT con Vitamina D,0.79,,lt,79.0,1.0,LAUKI,envase 1 lt,dia,1618236629.1145298,1917
LAUKI leche entera envase 1 lt,Leche Entera UHT,0.79,,lt,79.0,1.0,LAUKI,envase 1 lt,dia,1618236636.3653235,19814
ALPRO bebida de coco envase 1 lt,Bebida de Coco U.H.T. con Arroz enriquecida con calcio y vitaminas (B12 y D),1.89,,lt,189.0,1.0,ALPRO,envase 1 lt,dia,1618236643.63879,206462
DIA VITAL bebida de avena envase 1 lt,,1.19,,lt,119.0,1.0,DIAVITAL,envase 1 lt,dia,1618236650.6491935,207399
ALMOND BREEZE leche de almendras zero envase 1 lt,Bebida De Almendras UHT con calcio y vitaminas 'Zero',1.85,,lt,185.0,1.0,ALMONDBREEZE,envase 1 lt,dia,1618236658.0010402,214843
"ASTURIANA leche desnatada 0,0% M.G. envase 1 lt",Leche UHT DESNATADA 0%MG,0.79,,lt,79.0,1.0,ASTURIANAMG,envase 1 lt,dia,1618236665.3593895,218756
PULEVA leche semidesnatada calcio envase 1 lt,"Leche semidesnatada enriquecida en proteinas, calcio y vitaminas A, D y K. UHT",1.19,,lt,119.0,1.0,PULEVA,envase 1 lt,dia,1618236672.6429925,22488
