description,name,price,offer_price,meassure,pum,size,brand,meassure_description,market
"Leche entera Président botella 1,5 l.",Leche entera. UHT,1.09,None,l,0.73,,PRESIDENT,,carrefour
"Leche semidesnatada fresca Puleva sin lactosa botella 1,5 l.",,1.83,None,,1.22,,,,carrefour
Leche semidesnatada ecológica Puleva sin lactosa brik 1 l.,,1.45,None,,1.45,,,,carrefour
Leche entera de cabra ecológica Cantero de Letur botella de vidrio 1 l.,,4.4,None,,4.4,,,,carrefour
Leche entera Bienatur Clesa brik 1 l.,Leche UHT Entera,0.64,0.75,l,0.75,,CLESA,,carrefour
"Leche semidesnatada fresca ecológica Carrefour Bio botella 1,5 l.",,1.79,None,,1.19,,,,carrefour
Leche semidesnatada Pascual sin lactosa pack de 3 briks de 200 ml.,,1.09,None,,1.82,,,,carrefour
Leche semidesnatada Bienatur Clesa brik 1 l.,Leche UHT Semidesnatada,0.64,0.75,l,0.75,,CLESA,,carrefour
Leche desnatada con calcio Central Lechera Asturiana brik 1 l.,,0.94,None,,0.94,,,,carrefour
"Leche semidesnatada Pascual botella 1,2 l.",Leche semidesnatada UHT,1.22,None,l,1.02,,PASCUAL,,carrefour
Leche semidesnatada ecológica Asana brik 1 l.,,1.34,None,,1.34,,,,carrefour
"Leche fresca desnatada Carefour botella 1,5 l.",,1.15,None,,0.77,,CARREFOUR,,carrefour
